Name,Role,Department,Year,Email,Contact,AvgScore,TotalSubjects,CompletedCredits
Angela Ross,Student,Physics,1,matthew64@palmer.biz,8173103602,70,10,40
Joshua Schmitt,Faculty,Administration,-,troygilbert@hotmail.com,0173827152,0,-,-
Troy Garcia,Faculty,Chemistry,-,michealhines@santana.com,2395011316,0,-,-
Elizabeth Moore,Faculty,Physics,-,kingmary@hotmail.com,4030852368,0,-,-
Joshua Thompson,Student,Electronics,4,jacob00@hotmail.com,1639842702,66,9,45
Crystal Wagner,Faculty,Physics,-,joycecastro@yahoo.com,1092456036,0,-,-
Jennifer Walker,Faculty,Biology,-,crystal30@gmail.com,5286115608,0,-,-
Scott Wright,Faculty,Chemistry,-,kblackwell@hotmail.com,4745970456,0,-,-
Regina Werner,Student,Administration,2,riveraangela@newman-schneider.com,7870177494,83,6,30
Donald Strong,Student,Chemistry,4,rwheeler@gonzalez-sharp.biz,9618487465,62,9,36
Logan Young,Student,Chemistry,3,michelle10@taylor-young.com,4896657111,95,10,50
Elizabeth Atkins,Faculty,Physics,-,zunigadonna@williams.info,9814027034,0,-,-
Jamie Anderson,Faculty,Electronics,-,morganford@gmail.com,2755582201,0,-,-
Tiffany Nunez,Staff,Computer Science,-,matthewlewis@petty.com,9512164992,0,-,-
Catherine Lopez,Faculty,Computer Science,-,tammie56@yahoo.com,6726943570,0,-,-
Trevor Williamson,Faculty,Administration,-,knunez@hotmail.com,0467927781,0,-,-
Patricia Kelley,Staff,Electronics,-,christina66@michael.com,9013785303,0,-,-
Denise Mcdonald,Faculty,Physics,-,charles00@yahoo.com,7091374971,0,-,-
Kathryn Fisher,Student,Chemistry,2,mcconnelljohn@hotmail.com,8777255947,66,7,21
Matthew Myers,Faculty,Computer Science,-,zsmith@gmail.com,3020906498,0,-,-
Renee Vega,Student,Chemistry,1,obrienmonica@yahoo.com,3440168436,86,5,25
Michelle Sullivan,Faculty,Mathematics,-,kingdean@ross.com,9665061369,0,-,-
John Mata,Staff,Administration,-,kathleencollier@gmail.com,9820102043,0,-,-
Tony Elliott DDS,Student,Mathematics,1,teresa80@yahoo.com,0847784137,85,8,24
Timothy Garcia,Student,Electronics,4,scott94@rojas.com,1897760726,71,8,32
Brandi Ray,Faculty,Computer Science,-,cowen@brown.com,8173729217,0,-,-
Mark Pearson DDS,Staff,Administration,-,zjames@griffin-reyes.com,5373491365,0,-,-
Mark Tyler,Student,Administration,3,robin90@yahoo.com,8029170946,80,5,25
Tammy Hurst,Staff,Computer Science,-,josephchase@thomas-buchanan.com,0601944044,0,-,-
Brenda Smith,Student,Mathematics,4,melissa70@yahoo.com,0051500047,73,5,25
Samuel Stokes,Student,Administration,3,bfarrell@yahoo.com,1415450174,66,7,35
Jessica Alvarado,Staff,Computer Science,-,benjamin61@gmail.com,5339426506,0,-,-
Ryan Benjamin,Staff,Physics,-,clee@gmail.com,6525780829,0,-,-
Amy Ryan,Faculty,Physics,-,xmoss@palmer.com,9105514141,0,-,-
Zachary Hurley,Faculty,Mathematics,-,susanharrell@hotmail.com,3182098962,0,-,-
Zachary Martinez,Staff,Mathematics,-,mitchell71@king-scott.biz,9866824050,0,-,-
Morgan Clark,Student,Administration,1,jaredrichard@gmail.com,7642656638,93,6,18
Hannah Owens,Student,Administration,3,nlewis@higgins.info,7369140654,66,6,30
Carolyn White,Student,Administration,1,sarah11@yahoo.com,8077152123,89,7,21
Melissa White,Student,Biology,2,lpierce@walter.biz,0530952782,90,10,40
Walter Forbes,Staff,Chemistry,-,jenna71@washington.com,9454466786,0,-,-
Fernando Valencia,Faculty,Mathematics,-,scottchristian@gmail.com,2098069235,0,-,-
Michele Lambert,Staff,Administration,-,gabriella28@hotmail.com,0198667575,0,-,-
Peter Travis,Student,Administration,2,darlenemurphy@smith.com,1915948979,74,9,36
Lisa King,Student,Electronics,2,mary24@hotmail.com,3807209794,88,10,30
Crystal Kim,Student,Computer Science,1,morrisonrichard@yahoo.com,7384793351,75,9,36
Lance Simpson,Staff,Electronics,-,nmorris@moore.info,6003810164,0,-,-
Lauren Davis,Faculty,Chemistry,-,cuevasjames@turner-glenn.net,2044633957,0,-,-
Cody Dean,Student,Chemistry,4,nvasquez@hotmail.com,4899859650,84,5,15
Jeremy Hayes,Student,Biology,3,lharrison@flowers.net,1003314073,92,6,24
Brandy Stewart,Student,Computer Science,2,chase11@hotmail.com,7872227027,65,9,36
Kelly Stanley,Student,Electronics,2,jordanrachel@johnson-kim.com,8671695846,90,9,45
Amy Collins,Faculty,Physics,-,chadmiller@giles.info,9311582251,0,-,-
Taylor Roberts,Faculty,Mathematics,-,twhite@yahoo.com,3110603211,0,-,-
Elizabeth Allen,Student,Computer Science,2,markescobar@yahoo.com,5184317273,81,7,21
John Turner,Student,Electronics,3,roy24@miller.com,0918717944,81,9,27
Jason Woods,Staff,Administration,-,angelamoore@gmail.com,0574350726,0,-,-
Timothy David,Faculty,Biology,-,burnsjason@mercado.net,7889154354,0,-,-
Janet Mills,Staff,Administration,-,nancycontreras@jackson.net,2387153938,0,-,-
Jessica Bell,Student,Mathematics,2,martingregory@hotmail.com,7997207686,84,10,40
Paul Weaver,Faculty,Physics,-,qcline@rogers.com,4857059062,0,-,-
Mrs. Dawn Meyer,Staff,Physics,-,iwoodard@gmail.com,5572380695,0,-,-
David Daniels,Student,Electronics,2,michaelsmith@clark.com,8321711210,76,5,15
Daniel Atkinson,Student,Computer Science,3,norrisdeborah@gmail.com,9479077314,82,5,25
Michael Bird,Student,Administration,3,susan45@gmail.com,4105775637,73,10,30
Thomas Carter,Student,Administration,4,barrybryant@mendoza.com,5748967452,65,9,45
Samantha Martin,Student,Physics,2,phamjeanne@yahoo.com,9915012672,62,9,45
Samantha Warren,Staff,Biology,-,garciabrett@gmail.com,7961769712,0,-,-
Hayley Jackson,Student,Computer Science,2,juarezemily@martin.org,0590578617,88,8,40
Mark Scott,Staff,Chemistry,-,angela69@hotmail.com,2414012049,0,-,-
Gerald Marshall,Student,Mathematics,2,estewart@johnson-snyder.biz,2844429309,72,6,30
Nathaniel Williamson,Staff,Chemistry,-,vhodges@patrick.info,2794546321,0,-,-
Stephen Carrillo,Student,Electronics,1,sanderschristian@cooper.com,2257814284,85,5,15
Daniel Kelly,Staff,Electronics,-,brobinson@hotmail.com,1846558805,0,-,-
Christian Finley,Faculty,Computer Science,-,ojones@morgan.com,1875064462,0,-,-
Veronica Scott,Student,Computer Science,2,thomasivan@caldwell.com,2019320379,70,6,30
Michael Flores,Faculty,Chemistry,-,cooleyjessica@flores.com,6511596176,0,-,-
Sabrina Lee,Staff,Electronics,-,lopezrobin@lane.com,9528248054,0,-,-
Greg Young,Staff,Physics,-,bernardchristopher@yahoo.com,0529324850,0,-,-
Richard Bowen,Student,Biology,2,wmitchell@mckee.net,5917477037,92,7,28
Elizabeth Garcia,Staff,Physics,-,ulozano@velazquez-reyes.com,9674893140,0,-,-
Joshua Alexander,Faculty,Mathematics,-,amy27@yahoo.com,5466052115,0,-,-
Jesus Jones,Faculty,Electronics,-,doylestephanie@yahoo.com,4976669387,0,-,-
Amy Nichols,Student,Electronics,2,sking@clark-hensley.net,5298076853,89,10,30
Jamie Lynn,Staff,Electronics,-,dennis46@edwards.biz,5600446339,0,-,-
Heather James,Student,Computer Science,4,johntorres@hotmail.com,2289158473,69,7,35
Kim Williams,Student,Mathematics,4,james25@wilson.com,3905452812,72,9,36
Jennifer Rodriguez,Student,Physics,2,kelly55@yahoo.com,1951554283,80,7,28
Joseph Miranda,Faculty,Electronics,-,ariasadam@gmail.com,2863196078,0,-,-
Marcus Jones,Staff,Biology,-,mossrobert@gallagher.com,4731702421,0,-,-
William Wilkerson,Staff,Mathematics,-,melissaanderson@jackson.info,0749584471,0,-,-
Michelle Caldwell,Student,Electronics,2,clewis@ward.com,2438229224,63,6,18
David Brown,Staff,Computer Science,-,angela69@gmail.com,9146814415,0,-,-
Mary Winters,Faculty,Biology,-,tannermegan@gmail.com,6325122201,0,-,-
Dustin Rush,Student,Electronics,4,luis82@barnes.biz,3593533605,86,6,18
William Boyd,Faculty,Biology,-,angelajohnson@black-smith.info,0019901538,0,-,-
Tricia Olsen,Faculty,Electronics,-,dparker@hotmail.com,9559879460,0,-,-
Matthew Conrad,Staff,Mathematics,-,tscott@gmail.com,1740190585,0,-,-
Steve Hester,Faculty,Biology,-,trevinodawn@hardin-jackson.info,9056683847,0,-,-
Rhonda Cobb,Staff,Chemistry,-,kevinjones@yahoo.com,6701236803,0,-,-
Bruce Adams,Student,Administration,2,jonesbrittney@powell.com,1769964401,65,10,50
Justin Hanson,Faculty,Biology,-,krichards@gmail.com,3616353312,0,-,-
Amanda Nelson,Student,Administration,4,lisa19@wilson.info,3917580403,95,6,18
Natalie Sullivan,Staff,Physics,-,lambtammy@hotmail.com,6591804272,0,-,-
Renee Everett,Student,Biology,3,kim93@roberts-barry.com,0569229017,92,8,40
Annette Young,Student,Computer Science,2,eblack@allen.com,3954152269,75,7,21
Jeffrey Jensen,Faculty,Physics,-,smithcatherine@tucker.org,3914452499,0,-,-
Dr. Kayla Mills,Staff,Electronics,-,jennifer44@yahoo.com,4884732993,0,-,-
Connie Smith,Staff,Chemistry,-,christianwest@wilson.com,3625464420,0,-,-
Benjamin Nelson PhD,Student,Chemistry,2,grussell@gmail.com,2999473215,63,5,15
Brandon Willis,Faculty,Electronics,-,wilcoxdanielle@hotmail.com,8139219224,0,-,-
Lisa Powell,Faculty,Electronics,-,wgomez@hall.com,6454475490,0,-,-
Michael Smith,Staff,Biology,-,nicole66@king-snyder.com,7535836202,0,-,-
Danny Tran,Student,Computer Science,1,welchwilliam@hotmail.com,5561216410,68,5,25
Amanda Saunders,Staff,Chemistry,-,heidibrown@gmail.com,1632418185,0,-,-
Robert Henry,Faculty,Computer Science,-,fle@hotmail.com,1138688626,0,-,-
Stacy Martinez,Staff,Administration,-,mdavis@harrison.com,3824116715,0,-,-
Joseph Andrews,Staff,Mathematics,-,julia19@yahoo.com,6893103790,0,-,-
Lorraine Hill,Student,Computer Science,3,lruiz@jones.com,8728255999,68,6,30
Valerie Martinez,Staff,Biology,-,sanfordjeffrey@hotmail.com,2704189943,0,-,-
Brent Colon Jr.,Student,Biology,4,kelsey27@gmail.com,9345629307,84,9,36
Michael Blackwell,Staff,Mathematics,-,millerchristopher@yahoo.com,9870655752,0,-,-
Jennifer Hall,Student,Chemistry,4,qgonzales@gmail.com,4467195150,89,7,35
Brittany Tran,Student,Computer Science,3,melanie69@sullivan.net,9685069064,78,10,50
Derek Phillips,Faculty,Biology,-,ericaskinner@clark.net,5169761614,0,-,-
Julia Cunningham,Faculty,Administration,-,jamessmith@yahoo.com,3343868631,0,-,-
Douglas Stephenson,Student,Chemistry,3,qreynolds@gmail.com,1254091490,83,10,30
Willie Alvarez,Student,Administration,1,morrisnancy@reyes-obrien.com,9071011786,82,6,18
Jennifer Robinson MD,Faculty,Computer Science,-,millerlauren@walsh.com,9243160300,0,-,-
Matthew Sanchez,Staff,Computer Science,-,martinezmichaela@cortez.com,4796820215,0,-,-
Lisa George,Student,Physics,1,alimitchell@gmail.com,4498755403,72,7,21
Daniel Rose,Faculty,Physics,-,javier35@hotmail.com,1487137169,0,-,-
Bruce Howell,Student,Electronics,1,kingpamela@yahoo.com,8433393798,62,10,30
Brittany Flores,Faculty,Mathematics,-,josephchambers@beasley-johnson.info,8208098232,0,-,-
Amber Ross,Staff,Administration,-,dwade@gmail.com,7136115686,0,-,-
Heidi Evans,Staff,Mathematics,-,zgray@price.com,1770859456,0,-,-
Stephanie Patton,Faculty,Administration,-,davisnina@hernandez.biz,6737064601,0,-,-
Christine Aguilar,Student,Biology,3,psherman@yahoo.com,7268741484,92,7,35
Pamela Hill,Student,Computer Science,2,jamesyates@gmail.com,4371366037,68,5,15
Dominic Clark,Staff,Biology,-,danielsparks@mcguire.com,6892072414,0,-,-
Jordan Collins,Student,Mathematics,4,bhudson@alexander-steele.net,5138483758,65,5,15
Valerie Rose,Staff,Administration,-,kevinsellers@hotmail.com,3800006600,0,-,-
Jodi Wyatt,Staff,Physics,-,greendustin@maxwell.com,1858800529,0,-,-
Colleen Jackson,Staff,Administration,-,natalie13@nunez.com,7968788826,0,-,-
Thomas Rodriguez,Student,Administration,4,hardymichael@hotmail.com,5959704306,63,6,24
William Warren,Student,Chemistry,3,randall55@ramirez.net,8261495344,95,9,36
Juan Howell,Student,Physics,3,qmccarthy@hebert.com,7590392135,67,5,25
Deanna Singleton,Student,Mathematics,1,srandolph@perez.net,0809800919,65,9,36
Amanda Price,Student,Physics,4,davidhill@orozco-hunt.info,0325529283,65,5,20
Rebecca Knight,Staff,Electronics,-,samuelbrock@gmail.com,6602554483,0,-,-
Brandon Hayes,Faculty,Biology,-,ericsanders@hotmail.com,8596480370,0,-,-
Brittany Gomez,Faculty,Administration,-,paulabeasley@hotmail.com,6043499418,0,-,-
Katherine Black,Student,Electronics,1,nrose@yahoo.com,3079007155,61,7,35
Christine Maldonado,Staff,Chemistry,-,aliciaperez@hotmail.com,9760018774,0,-,-
Shannon Nicholson,Staff,Electronics,-,jason16@norris.com,5285899209,0,-,-
Jeremy Holloway,Staff,Electronics,-,peckcalvin@hotmail.com,5734687119,0,-,-
Mrs. Krystal Roberson DDS,Staff,Electronics,-,brownjoseph@mccarthy-parker.net,4904308071,0,-,-
David Arroyo,Student,Mathematics,2,william19@warner.com,4437693861,84,10,40
Diana Jones,Staff,Mathematics,-,wilsonstuart@hotmail.com,2488140067,0,-,-
Mary Norman,Faculty,Administration,-,morrisongeorge@gmail.com,1621310557,0,-,-
Alison Sullivan,Faculty,Biology,-,annasanders@gmail.com,4846265820,0,-,-
Nathaniel Martinez,Staff,Mathematics,-,mark95@harvey.com,1786642166,0,-,-
Brianna Moore,Student,Physics,1,jose33@hotmail.com,7554339708,81,5,20
Anthony Sanders,Student,Administration,4,johnsonbradley@gardner.com,4602568709,92,6,30
Joel Pennington,Student,Electronics,3,christopher73@yahoo.com,8625129755,72,8,32
Christina Poole,Student,Electronics,4,rhunt@sherman-brown.com,3897376644,63,6,24
Lindsay Nunez,Faculty,Administration,-,zavalajacob@hotmail.com,4224578344,0,-,-
Russell Macdonald,Student,Biology,2,newmanjames@gmail.com,0519015531,63,7,35
Amber White,Student,Mathematics,1,prattluke@johnson.com,1243756968,92,7,35
Kristin Fox,Student,Electronics,4,olsonchristopher@gmail.com,0055674356,76,10,30
Charles Hammond,Faculty,Computer Science,-,wendy50@hotmail.com,9243740714,0,-,-
Andrea Taylor,Staff,Administration,-,watsondavid@ortiz.biz,1961779335,0,-,-
Michael Mcguire,Student,Biology,4,juarezjoel@hall.com,2217202229,85,8,40
Francisco Shaw,Staff,Mathematics,-,alexis28@austin.com,8060619151,0,-,-
Rebecca Peterson,Faculty,Computer Science,-,xrobertson@gmail.com,2254069842,0,-,-
Glenn Crosby,Student,Physics,2,taraerickson@gonzalez.com,4823370160,95,5,15
Ruth Thompson,Faculty,Physics,-,natasha15@hunt-rogers.com,5740971892,0,-,-
Kaylee Miller,Faculty,Mathematics,-,fduke@smith-mitchell.info,9904969416,0,-,-
Ann Mcbride,Faculty,Mathematics,-,sanderslisa@yahoo.com,5316196757,0,-,-
Joshua Rivera,Student,Administration,4,ccox@yahoo.com,5971656729,91,10,50
Christina Novak,Student,Electronics,2,clarkchristopher@morgan-miller.com,7695260738,60,8,32
Suzanne Woods,Student,Chemistry,1,christopher35@kim.com,3670491553,72,6,30
Troy Smith,Staff,Chemistry,-,ucannon@morris-williams.biz,6941315659,0,-,-
Aaron Perkins,Student,Chemistry,4,brewerjeremy@hotmail.com,1291011607,67,10,40
Stephanie Turner,Student,Chemistry,2,hknight@yahoo.com,5669330752,76,7,21
Joseph Bennett,Faculty,Physics,-,terriholt@hernandez.biz,3022211349,0,-,-
Mrs. Mary Ochoa PhD,Staff,Computer Science,-,enelson@huynh-boyd.org,6958848620,0,-,-
Rachel Ryan,Student,Computer Science,1,nguyenphilip@hotmail.com,2512666257,79,6,30
Brooke Leon DDS,Staff,Mathematics,-,lcarpenter@proctor.com,4068258230,0,-,-
Daniel Alvarez,Staff,Biology,-,flowersdenise@christian-rosario.com,2669787216,0,-,-
Michelle Jenkins,Student,Mathematics,1,erica40@perez-grimes.net,6946447058,71,7,35
Sara Rivas,Staff,Mathematics,-,kpoole@hotmail.com,6282029250,0,-,-
Joseph Stout,Faculty,Administration,-,laurie41@carroll.com,7559074447,0,-,-
Kristin Torres,Student,Computer Science,1,wanda48@garcia-silva.biz,1200543601,61,9,36
Sheila Weaver,Staff,Mathematics,-,shannonreese@yahoo.com,5490983043,0,-,-
Gabriel Estes,Student,Mathematics,2,rprince@gmail.com,4768978767,60,5,15
Mr. Jerome Shaw,Faculty,Mathematics,-,kcampbell@mendez-brandt.info,2562767680,0,-,-
Brian Smith,Student,Electronics,2,lmitchell@yahoo.com,3929671365,73,5,15
Juan Sullivan,Faculty,Biology,-,ijohnson@arias.com,1730747318,0,-,-
Jacob Leonard,Faculty,Electronics,-,sheilacollins@yahoo.com,3188756975,0,-,-
Ana Robinson,Faculty,Administration,-,david82@soto-barnett.com,0856103154,0,-,-
Tami Stewart,Staff,Electronics,-,davisjane@atkins-smith.biz,0482561343,0,-,-
Elizabeth Robinson,Staff,Electronics,-,jessicawilson@gmail.com,2346361387,0,-,-
Christina Nelson,Faculty,Administration,-,tara53@tanner.com,5218506297,0,-,-
Jane Massey,Faculty,Computer Science,-,roberttucker@patel-simmons.net,0077214517,0,-,-
David Chen,Staff,Physics,-,browndaniel@yahoo.com,7918968175,0,-,-
Mr. Charles Griffith,Staff,Chemistry,-,amy34@mann-mclean.com,8338706284,0,-,-
Kimberly Garcia,Student,Administration,2,michaelgreen@gmail.com,9441369577,68,5,25
John Stone MD,Faculty,Computer Science,-,lanesean@simmons.com,9293626441,0,-,-
Bailey Becker,Student,Biology,4,jonathanwoods@parker-jones.com,8710255851,92,9,27
Adriana Mcguire,Faculty,Electronics,-,asimmons@meza.com,6319114624,0,-,-
Anna Ware,Staff,Physics,-,snixon@stephens-miller.com,5108917691,0,-,-
Jason Thomas,Staff,Physics,-,kimberlyguerrero@yahoo.com,4745333126,0,-,-
Heidi Wright,Faculty,Physics,-,sperez@gmail.com,5315565584,0,-,-
Cheryl Martin,Student,Biology,1,kristamueller@taylor-burch.com,6953729594,78,5,20
Anthony Jacobs,Student,Computer Science,4,matthew02@hotmail.com,0971946563,88,10,50
James Bonilla,Faculty,Administration,-,ericanderson@gmail.com,9618642075,0,-,-
Brent Duncan,Student,Mathematics,1,tinacalhoun@hotmail.com,2920189798,85,9,36
Caitlin Smith,Student,Computer Science,1,kimberlyriley@mcdowell-pacheco.net,3542493824,71,6,24
Jack Vargas,Staff,Administration,-,vegarichard@smith.com,5608248363,0,-,-
Andrew Alvarez,Faculty,Mathematics,-,bellkimberly@brown.com,4796346660,0,-,-
Joseph Vaughn,Staff,Biology,-,kelly14@yahoo.com,6808029649,0,-,-
Brian Richardson,Student,Mathematics,4,shelia64@ramos-reynolds.com,3502052628,80,7,35
Eric Hawkins,Staff,Biology,-,hailey19@soto.com,8065460954,0,-,-
Jennifer Taylor,Staff,Electronics,-,dunnshawn@osborne-graham.org,7757150673,0,-,-
Daniel Miller,Staff,Electronics,-,michaelmontgomery@graham.com,0343636857,0,-,-
Donald Smith,Faculty,Computer Science,-,abigail37@delacruz.com,6715370503,0,-,-
Valerie Wise,Student,Administration,3,joshua17@yahoo.com,3475861463,89,5,20
Gabrielle Williams,Student,Electronics,3,brian73@yahoo.com,7835261149,90,9,27
Carol Wong,Faculty,Mathematics,-,rodriguezjennifer@valdez-flynn.com,4856087715,0,-,-
Lori Davis,Staff,Chemistry,-,wglover@reese-sanders.com,3129346766,0,-,-
Bradley Thompson,Staff,Biology,-,prestonseth@yahoo.com,6855179784,0,-,-
Nancy Daniels,Staff,Computer Science,-,matthew07@yahoo.com,5104908092,0,-,-
Phillip Chase,Faculty,Biology,-,pamelawong@nguyen-sosa.biz,3528838849,0,-,-
Christopher Perry,Staff,Chemistry,-,timothy77@wilson.com,7261520647,0,-,-
Dominique Warren,Student,Mathematics,3,tgalloway@fowler.com,3449709604,89,5,15
Kimberly Mcintyre,Faculty,Biology,-,dillonashley@williams.com,1203901857,0,-,-
Katherine Marshall,Faculty,Biology,-,anthony97@yahoo.com,1776961023,0,-,-
John Mclaughlin,Faculty,Computer Science,-,phillipbrooks@gmail.com,3668109696,0,-,-
Amy Peck,Faculty,Mathematics,-,christopherware@jones.com,6113537366,0,-,-
Amy Wilson,Student,Physics,3,zachary97@delgado-velazquez.com,5152907429,63,5,20
Michael Flores,Student,Computer Science,4,inicholson@munoz.com,8249456974,87,10,30
Wendy Malone,Staff,Biology,-,hcampbell@benton.com,9896809364,0,-,-
Lawrence Tyler,Student,Physics,2,rmoore@mcdonald.com,6564118922,68,5,20
Craig Cline,Staff,Mathematics,-,matthewbrown@hopkins.com,7672394783,0,-,-
Laura Lyons,Faculty,Mathematics,-,blong@hotmail.com,5841962700,0,-,-
Tim Vega,Faculty,Physics,-,brendajackson@day-bailey.info,1015698379,0,-,-
Monica Lawrence,Staff,Electronics,-,greed@hotmail.com,8202197992,0,-,-
Caleb Young,Faculty,Biology,-,piercegwendolyn@hotmail.com,5209083735,0,-,-
Richard David,Faculty,Chemistry,-,karenhunter@ochoa.org,5394971192,0,-,-
Jaime Odom,Staff,Physics,-,osalazar@yahoo.com,1534461317,0,-,-
Christopher Landry,Staff,Mathematics,-,jenkinsemily@martin.com,2924024086,0,-,-
Michael Torres,Student,Administration,3,youngjanet@gmail.com,4639260150,92,7,35
Jonathan Lewis,Faculty,Computer Science,-,keyshawn@fuller.com,6124232915,0,-,-
Justin Cruz,Staff,Biology,-,martinamanda@yahoo.com,2869680638,0,-,-
Michael Thomas,Student,Physics,3,elizabeth22@neal.org,8024700265,88,7,21
Anna Adams,Student,Administration,3,mark17@cortez-bell.com,4212757409,80,10,40
Susan Dominguez,Staff,Physics,-,michaeldyer@gmail.com,1750030275,0,-,-
Ross Novak,Student,Computer Science,4,margarettucker@benjamin.com,1125368756,77,6,18
Philip Watson,Student,Mathematics,3,mlee@yahoo.com,1808106150,82,7,35
Sarah Zimmerman,Student,Administration,1,yvonne14@hotmail.com,8520455443,93,9,27
Anthony Jones,Staff,Physics,-,maryspencer@bernard.com,6110354982,0,-,-
Cynthia Ortiz,Student,Chemistry,1,brianapalmer@gmail.com,6454904384,78,8,40
William Bryan,Faculty,Physics,-,jeremy74@yahoo.com,6119698384,0,-,-
Colleen Peters,Staff,Physics,-,kwilliams@ramirez-brown.com,4399994454,0,-,-
Jason Thompson,Faculty,Mathematics,-,matthew10@yahoo.com,6232538031,0,-,-
Elizabeth Prince,Faculty,Chemistry,-,williammoses@torres-edwards.com,9781797630,0,-,-
John Brown,Staff,Mathematics,-,linda85@benson.biz,4654491458,0,-,-
Curtis Lee,Staff,Computer Science,-,terrysullivan@yahoo.com,6030643628,0,-,-
Troy Norris,Student,Administration,3,owensmadison@hotmail.com,2436609221,81,6,30
Rachel Johnson,Staff,Electronics,-,tylerwang@ramirez-ritter.info,4405549707,0,-,-
Jason Cox,Faculty,Administration,-,johnathan98@gmail.com,7826692363,0,-,-
Travis Monroe,Staff,Computer Science,-,spencerkeith@yahoo.com,6951941385,0,-,-
Zachary Serrano,Faculty,Computer Science,-,jessicabrown@yahoo.com,5568005024,0,-,-
Brooke Austin,Student,Mathematics,2,brittney04@scott.org,5335548909,65,8,24
Lauren Whitehead,Student,Mathematics,1,tfisher@yahoo.com,7969578818,79,10,50
Wanda Maddox,Student,Electronics,2,robertrobinson@wiley.info,3205001391,74,9,27
Jaclyn Massey,Student,Physics,1,laurakennedy@yahoo.com,0188317585,74,9,27
Ellen Obrien,Staff,Administration,-,christian02@smith.com,7805899509,0,-,-
Janet Turner,Student,Administration,4,nwright@hotmail.com,2128995563,68,5,25
James Padilla,Faculty,Physics,-,fitzgeraldrebekah@gmail.com,7711324512,0,-,-
Ricky Gonzales,Faculty,Administration,-,ncisneros@gmail.com,9282170843,0,-,-
Patrick Mcconnell,Faculty,Physics,-,annette83@norman.com,8334490653,0,-,-
Teresa Cain,Faculty,Chemistry,-,scott99@gardner-fox.com,1278647165,0,-,-
Matthew Gutierrez,Student,Mathematics,1,gtaylor@yahoo.com,5919578241,65,5,20
Tammy Wood,Student,Electronics,4,sloanamy@hotmail.com,9672222185,92,6,18
Joshua Gray,Student,Computer Science,4,ljuarez@gmail.com,1538030543,82,6,24
Brandon Fisher,Student,Biology,2,christinamarquez@yahoo.com,1654871422,78,7,21
Robert Hunter,Faculty,Electronics,-,morenoheather@welch.com,4577014700,0,-,-
Sharon Murphy,Staff,Chemistry,-,michael70@williams.org,9216170162,0,-,-
Mary Hartman,Staff,Administration,-,ryanstevenson@yahoo.com,2180007872,0,-,-
Jacob Knight,Staff,Biology,-,barnesmatthew@cruz.com,7193364505,0,-,-
Ruben Smith,Staff,Mathematics,-,williamsalex@jones.com,7251845496,0,-,-
Michael Graham,Faculty,Biology,-,denisejohnson@haley.com,7495205030,0,-,-
Alexis Carson,Student,Administration,2,hayeschristine@hotmail.com,7494923098,94,5,20
Christopher Barrett,Staff,Biology,-,jmoore@gmail.com,6158872924,0,-,-
Jason May,Faculty,Electronics,-,karen91@gmail.com,1910119619,0,-,-
Kenneth Diaz,Faculty,Mathematics,-,davidmunoz@poole.com,8984763509,0,-,-
Dale Lane,Faculty,Physics,-,brittany88@gmail.com,2731608410,0,-,-
Shelby Perez,Faculty,Physics,-,thomas68@parks.com,0098423598,0,-,-
Luis Scott,Faculty,Physics,-,irobinson@gibson.net,9537393965,0,-,-
